Манго_Лист_Вес__Ашан_,331 кКал
Мандарин__Ашан_,33 кКал
Манная_Крупа__Ашан_,360 кКал
Манты__Ашан_,132 кКал
Манты_с_Мясом__Ашан_,205 кКал
Маринад_Азиатский__Ашан_,110 кКал
Маринад_Горчичный__Ашан_,220 кКал
Маринад_Кавказский__Ашан_,"79,8 кКал"
Мармелад__Ашан_,330 кКал
Мармелад_с_Цедрой_Апельсина_и_Померанцем__Ашан_,249 кКал
Мармелад_Фруктово_Ягодный__Ашан_,300 кКал
Марципан__Ашан_,418 кКал
Марципан_Темный_Шоколад__Ашан_,464 кКал
Маскарпоне__Ашан_,408 кКал
Маскарпоне_Сыр_Шоколадный__Ашан_,243 кКал
Маслины_без_Косточек__Ашан_,146 кКал
Маслины_с_Косточкой__Ашан_,106 кКал
Масло_Подсолнечное_Рафинированное__Ашан_,899 кКал
Масло_Сливочное__Ашан_,748 кКал
Масляная_Х/К__Ашан_,113 кКал
Маффин__Ашан_,397 кКал
Маффин_с_Вишней__Ашан_,472 кКал
Маффин_с_Изюмом__Ашан_,360 кКал
Маффин_с_Карамелью__Ашан_,467 кКал
Маффин_с_Чёрной_Смородиной__Ашан_,332 кКал
Маффин_Черничный__Ашан_,428 кКал
Маффин_Шоколадный__Ашан_,410 кКал
Медальон_из_Лосося__Ашан_,185 кКал
Медальоны_из_Семги__Ашан_,160 кКал
Мексиканская_Смесь__Ашан_,48 кКал
Меренги__Ашан_,410 кКал
Меренги_Витые__Ашан_,399 кКал
Меренги_Витые_Весовой__Ашан_,356 кКал
Меренги_Цветные__Ашан_,316 кКал
Мидии__Ашан_,74 кКал
Мидии_в_Рассоле__Ашан_,45 кКал
Микс_Овощей__Ашан_,25 кКал
Миндаль_в_Белой_Глазури__Ашан_,579 кКал
Миндаль_в_Шоколадной_Глазури__Ашан_,570 кКал
Миндаль_Жареный__Ашан_,614 кКал
Миндаль_Жареный_со_Специями__Ашан_,591 кКал
Миндаль_Лепестки__Ашан_,680 кКал
Миндаль_Очищенный_Небланшированный__Ашан_,613 кКал
Миндаль_Сушеный__Ашан_,630 кКал
Миндаль_Сушеный_Эконом__Ашан_,575 кКал
Миндаль_Эконом__Ашан_,630 кКал
Миндальная_Мука__Ашан_,611 кКал
Миндальное_Молоко__Ашан_,64 кКал
Миндальный_Рогалик__Ашан_,446 кКал
Мини_Палочки_из_Слоеного_Теста_с_Сыром__Ашан_,490 кКал
Мини_Сушки_с_Солью__Ашан_,367 кКал
Мини_Багет__Ашан_,260 кКал
Мини_Багет_8_Злаков__Ашан_,277 кКал
Мини_Багет_Гречневый__Ашан_,321 кКал
Мини_Багет_Гурман__Ашан_,240 кКал
Мини_Багет_Дарк__Ашан_,268 кКал
Мини_Багет_по_Деревенски__Ашан_,259 кКал
Мини_Багет_Ржаной__Ашан_,210 кКал
Мини_Багет_с_Луком__Ашан_,267 кКал
Мини_Багет_с_Сыром__Ашан_,260 кКал
Мини_Багет_со_Злаками__Ашан_,237 кКал
Мини_Бантики_Сливочные_с_Сыром__Ашан_,500 кКал
Мини_Гренки_7_Злаков_БИО__Ашан_,403 кКал
Мозги_Говяжьи__Ашан_,124 кКал
Молоко_0_5%__Ашан_,35 кКал
Молоко_1_5%__Ашан_,45 кКал
Молоко_2_5%__Ашан_,55 кКал
Молоко_3_2%__Ашан_,60 кКал
Молоко_3_2%__Ашан_,60 кКал
Молоко_Отборное__Ашан_,62 кКал
Молоко_Топленое__Ашан_,67 кКал
Молоко_Цельное_Сгущенное__Ашан_,329 кКал
Молочный_Коктейль_со_Вкусом_Земляники__Ашан_,78 кКал
Молочный_Коктейль_со_Вкусом_Мятного_Пряника__Ашан_,78 кКал
Морковные_Палочки__Ашан_,51 кКал
Морковь_по_Корейски__Ашан_,100 кКал
Морковь_Сушеная__Ашан_,221 кКал
Морковь_Экстра_Тонкая_Консервированная__Ашан_,25 кКал
Мороженое__Ашан_,180 кКал
Мороженое_Пломбир_Крем_Брюле_в_Вафельном_Стаканчике__Ашан_,210 кКал
Мороженое_Пломбир_с_Ароматом_Фисташки_в_Вафельном_Рожке__Ашан_,290 кКал
Мороженое_Пломбир_Шоколадный_с_Кусочками_Шоколада__Ашан_,220 кКал
Мороженое_Эскимо_Сливочное_с_Кокосовым_Молоком_в_Белом_Шоколаде__Ашан_,335 кКал
Морс_Облепиховый__Ашан_,40 кКал
Морс_Ягодный_Замороженные_Ягоды_Клюква_и_Смородина__Ашан_,25 кКал
Морская_Капуста__Ашан_,61 кКал
Морская_Капуста_Сахалинская__Ашан_,69 кКал
Морской_Коктейль__Ашан_,88 кКал
Морской_Коктейль_с/М__Ашан_,81 кКал
Моцарелла__Ашан_,225 кКал
Моцарелла_42%__Ашан_,341 кКал
Моцарелла_Mauri__Ашан_,268 кКал
Моцарелла_Zuger__Ашан_,307 кКал
Моцарелла_Шарик__Ашан_,245 кКал
Мраморная_Говядина__Ашан_,180 кКал
Мраморная_Чечевица__Ашан_,360 кКал
Мусс_Йогуртовый_Клубника__Ашан_,120 кКал
Мюсли_3_Шоколада__Ашан_,446 кКал
Мюсли_4_Злака__Ашан_,318 кКал
Мюсли_7_Фруктов__Ашан_,439 кКал
Мюсли_Crousty_с_Орехами__Ашан_,467 кКал
Мюсли_Батончик__Ашан_,388 кКал
Мюсли_Вишневый_Букет__Ашан_,370 кКал
Мюсли_с_Киноа_и_Шоколадом__Ашан_,442 кКал
Мюсли_с_Семенами_Льна_и_Семечками_Тыквы__Ашан_,449 кКал
Мюсли_Четыре_Злака__Ашан_,318 кКал
Мюсли_Ягодное_Ассорти__Ашан_,317 кКал
Мякоть_Бедра_Телятины__Ашан_,100 кКал
Мясной_Терин__Ашан_,270 кКал
Мясные_Зразы_с_Яйцом__Ашан_,250 кКал
Мясо_для_Фарша__Ашан_,280 кКал
Мясо_Мидий__Ашан_,172 кКал
Мяфли__Ашан_,470 кКал
Набор_для_Окрошки_с_Ветчиной__Ашан_,270 кКал
Набор_для_Первых_Блюд__Ашан_,190 кКал
Навага_Жареная__Ашан_,190 кКал
Наггетсы_Тресковые__Ашан_,130 кКал
Нагетсы__Ашан_,240 кКал
Налим__Ашан_,81 кКал
Напиток_Био_с_Рисом_Натуральный__Ашан_,57 кКал
Напиток_из_Овса__Ашан_,43 кКал
Напиток_со_Вкусом_Миндаля__Ашан_,64 кКал
Напиток_Соевый_БИО__Ашан_,51 кКал
Напиток_Шоколадный_Соевый_Био__Ашан_,76 кКал
Нектар_Грейпфрут__Ашан_,40 кКал
Неро_Чёрный_Рис__Ашан_,260 кКал
Ноги_Говяжьи__Ашан_,159 кКал
Нут__Ашан_,390 кКал
Нут_Натуральный__Ашан_,195 кКал
Облепиха_Замороженные_Ягоды__Ашан_,75 кКал
Овощи_Гриль__Ашан_,77 кКал
Овощи_для_Жарки_с_Шампиньонами__Ашан_,62 кКал
Овощи_на_Гриле__Ашан_,195 кКал
Овощи_на_Пару__Ашан_,54 кКал
Овощи_Паровые__Ашан_,35 кКал
Овощи_Припущенные__Ашан_,145 кКал
Овощи_Стир_Фрай__Ашан_,92 кКал
Овощная_Смесь__Ашан_,41 кКал
Овощная_Смесь_Министроне__Ашан_,40 кКал
Овощное_Ассорти__Ашан_,37 кКал
Овощное_Рагу__Ашан_,25 кКал
Овощное_Трио_Гриль__Ашан_,41 кКал
Овощной_Суп__Ашан_,35 кКал
Овсяная_Каша_Апельсин_и_Персик__Ашан_,70 кКал
Овсяная_Каша_на_Сливках__Ашан_,100 кКал
Овсяная_Каша_с_Бананом_на_Сливках__Ашан_,90 кКал
Овсяная_Каша_с_Клубникой__Ашан_,351 кКал
Овсяное_Печенье_на_Фруктозе__Ашан_,376 кКал
Огурец__Ашан_,15 кКал
Окорок_Свиной__Ашан_,212 кКал
Окорочка_Куриные__Ашан_,161 кКал
Окорочка_Куриные_Гриль__Ашан_,153 кКал
Окрошка_Овощная__Ашан_,75 кКал
Окунь_г/К__Ашан_,151 кКал
Оладьи_из_Печени__Ашан_,153 кКал
Оладьи_из_Тыквы__Ашан_,150 кКал
Оладьи_из_Цуккини__Ашан_,131 кКал
Оладьи_Печеночные__Ашан_,235 кКал
Оладьи_Яблоко_и_Корица__Ашан_,310 кКал
Оливки__Ашан_,151 кКал
Оливки_с_Сыром__Ашан_,163 кКал
Оливковое_Масло__Ашан_,900 кКал
Оливье__Ашан_,151 кКал
Оливье_с_Языком__Ашан_,205 кКал
Омлет__Ашан_,170 кКал
Омлет_Натуральный__Ашан_,279 кКал
Омлет_с_Ветчиной__Ашан_,363 кКал
Омлет_с_Сыром__Ашан_,80 кКал
Орех_Кедровый__Ашан_,670 кКал
Орех_Фундук_Жареный__Ашан_,680 кКал
Орех_Фундук_Сушеный__Ашан_,679 кКал
Отбивная__Ашан_,110 кКал
Отбивная_Куриная__Ашан_,141 кКал
Отруби_Хрустящие_Ржаные__Ашан_,221 кКал
Павэ_Гурман_Хлеб__Ашан_,230 кКал
